,Расстояние
1450,2476
1451,2476
1452,1877
1453,1877
1454,1877
1455,2356
1456,1361
1457,1877
1458,1877
1459,1877
1460,1877
1461,1877
1462,1962
1463,1962
1464,1877
1465,1877
1466,1361
1467,1361
1468,1877
1469,1877
1470,436
1471,1877
1472,1877
1473,1877
1474,1877
1475,1877
1476,1877
1477,1962
1478,1962
1479,1877
1480,1877
1481,1877
1482,1877
1483,2782
1484,2356
1485,2356
1486,1877
1487,1877
1488,1877
1489,1877
1490,1877
1491,1877
1492,1877
1493,1877
1494,1877
1495,1877
1496,1877
1497,1877
1498,1877
1499,2356
1500,436
1501,436
1502,1877
1503,1877
1504,2356
1505,1877
1506,1877
1507,1877
1508,1877
1509,80
1510,80
1511,2356
1512,2356
1513,1877
1514,1877
1515,1877
1516,1877
1517,1877
1518,1877
1519,1877
1520,2356
1521,2356
1522,1877
1523,1877
1524,1877
1525,3772
1526,3772
1527,1877
1528,1877
1529,1877
1530,1877
1531,1877
1532,1877
1533,1877
1534,1877
1535,1877
1536,1877
1537,4244
1538,1877
1539,2356
1540,1877
1541,1877
1542,1877
1543,1877
1544,1877
1545,1877
1546,1877
1547,1877
1548,1877
1549,1877
1550,4244
1551,4244
1552,1877
1553,1877
1554,1877
1555,1877
1556,1877
1557,2356
1558,2356
1559,2356
1560,1877
1561,1877
1562,1877
1563,1877
1564,2356
1565,2356
1566,2356
1567,1877
1568,2732
1569,2732
1570,1877
1571,1877
1572,1877
1573,1877
1574,1877
1575,4244
1576,4244
1577,436
1578,436
1579,1361
1580,1361
1581,2146
1582,2146
1583,2146
1584,4244
1585,4244
1586,1877
1587,2146
1588,2146
1589,1877
1590,1877
1591,1877
1592,1877
1593,1877
1594,1877
1595,1877
1596,1877
1597,1877
1598,2356
1599,2356
1600,1877
1601,1877
1602,1361
1603,1877
1604,1877
1605,1877
1606,1877
1607,1877
1608,1361
1609,1361
1610,1877
1611,1877
1612,1877
1613,1877
1614,1877
1615,1877
1616,1877
1617,1877
1618,1877
1619,1877
1620,1877
1621,4202
1622,4202
1623,1877
1624,1877
1625,4244
1626,4244
1627,4244
1628,3772
1629,3772
1630,4244
1631,4244
1632,755
1633,755
1634,755
1635,4202
1636,1877
1637,1877
1638,1877
1639,1877
1640,1877
1641,1877
1642,1877
1643,1877
1644,1962
1645,1877
1646,1877
1647,1877
1648,1877
1649,1877
1650,1877
1651,1877
1652,1877
1653,1877
1654,1877
1655,1877
1656,1877
1657,1877
1658,1877
1659,1877
1660,2356
1661,2356
1662,1877
1663,1877
1664,1361
1665,1877
1666,1877
1667,436
1668,1877
1669,1877
1670,1877
1671,1877
1672,1877
1673,1877
1674,4244
1675,4244
1676,1877
1677,1877
1678,1877
1679,1877
1680,1877
1681,2356
1682,1877
1683,1877
1684,1877
1685,1877
1686,753
1687,753
1688,1877
1689,1877
1690,1877
1691,1877
1692,1877
1693,1877
1694,1877
1695,436
1696,1877
1697,1877
1698,1877
1699,1877
1700,1877
1701,4244
1702,1877
1703,1877
1704,1877
1705,1877
1706,1877
1707,1877
1708,1877
1709,1877
1710,1361
1711,2356
1712,2356
1713,2356
1714,1425
1715,1425
1716,1877
1717,1877
1718,2356
1719,2356
1720,2356
1721,2356
1722,2356
1723,2356
1724,1877
1725,1877
1726,1877
1727,1877
1728,1877
1729,1877
1730,1877
1731,1877
1732,1877
1733,2476
1734,2476
1735,2476
1736,2476
1737,2732
1738,2356
1739,2356
1740,1877
1741,1877
1742,1877
1743,1877
1744,1877
1745,1877
1746,1877
1747,1877
1748,1877
1749,1877
1750,1877
1751,2356
1752,1877
1753,1877
1754,1877
1755,1877
1756,1877
1757,1877
1758,1877
1759,2009
1760,2009
1761,2356
1762,2356
1763,1361
1764,1877
1765,1877
1766,1877
1767,1425
1768,1425
1769,1877
1770,3334
1771,3334
1772,1877
1773,1877
1774,1877
1775,1877
1776,1877
1777,1877
1778,1877
1779,1877
1780,1877
1781,2146
1782,2146
1783,436
1784,436
1785,1877
1786,1425
1787,2356
1788,2356
1789,1425
1790,1877
1791,1877
1792,1877
1793,1877
1794,1877
1795,1877
1796,1877
1797,1877
1798,1877
1799,2356
1800,2356
1801,1877
1802,1877
1803,1877
1804,436
1805,1877
1806,2356
1807,2356
1808,2146
1809,2146
1810,1877
1811,1877
1812,1877
1813,2356
1814,2356
1815,80
1816,80
1817,80
1818,2356
1819,1877
1820,1877
1821,1877
1822,1877
1823,1877
1824,1877
1825,3263
1826,1877
1827,1877
1828,1877
1829,1877
1830,1877
1831,1877
1832,1361
1833,1361
1834,1361
1835,2356
1836,2356
1837,1877
1838,2356
1839,582
1840,582
1841,2356
1842,2476
1843,2476
1844,2476
1845,1877
1846,1877
1847,6489
1848,6489
1849,6489
1850,1877
1851,1877
1852,1877
1853,1877
1854,1877
1855,4244
1856,169
